,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__alpha,param_NN__hidden_layer_sizes,param_km__n_clusters,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
31,0.07184596061706543,0.0006602287292480468,0.6009648518263266,0.618040590243963,0.01,"(100,)",5,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (100,), 'km__n_clusters': 5}",117,0.636986301369863,0.6272648835202761,0.6254295532646048,0.628448275862069,0.6275862068965518,0.627906976744186,0.6275862068965518,0.627906976744186,0.4861111111111111,0.5786758383490972,0.0034154478723711595,0.00015724650803567998,0.05729495440561863,0.01968594606952215
32,0.11026673316955567,0.000624847412109375,0.6498966230186078,0.6405682256795803,0.01,"(100,)",10,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (100,), 'km__n_clusters': 10}",45,0.6267123287671232,0.6160483175150993,0.6254295532646048,0.628448275862069,0.6793103448275862,0.6494401378122309,0.6275862068965518,0.627906976744186,0.6909722222222222,0.6809974204643164,0.011676533422901455,3.2420508700796884e-05,0.02890512011027849,0.022898283430900262
33,0.14471812248229982,0.0007087230682373047,0.653342522398346,0.6605783564980141,0.01,"(100,)",15,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (100,), 'km__n_clusters': 15}",37,0.6746575342465754,0.6893874029335634,0.6701030927835051,0.6646551724137931,0.6275862068965518,0.627906976744186,0.6275862068965518,0.627906976744186,0.6666666666666666,0.6930352536543423,0.011529736557195783,8.064521742314249e-05,0.021170200895984863,0.028407287331214635
34,0.16347322463989258,0.0006768226623535157,0.6595451412818746,0.6584974942099086,0.01,"(100,)",20,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (100,), 'km__n_clusters': 20}",26,0.6404109589041096,0.6289905090595341,0.697594501718213,0.7094827586206897,0.6310344827586207,0.6227390180878553,0.6310344827586207,0.6365202411714039,0.6979166666666666,0.6947549441100602,0.007086662977989004,2.2363306868269875e-05,0.03132391901830013,0.03618405808820676
35,0.19435739517211914,0.00070037841796875,0.627842866988284,0.6245725959608891,0.01,"(100,)",25,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (100,), 'km__n_clusters': 25}",70,0.6267123287671232,0.6238136324417601,0.6288659793814433,0.6293103448275862,0.6275862068965518,0.627906976744186,0.6275862068965518,0.6253229974160207,0.6284722222222222,0.6165090283748925,0.012464524585961683,6.909707721298719e-05,0.0007563639616596809,0.004465973795558512
36,0.2107997417449951,0.0007777690887451171,0.6381805651274983,0.6514728981730835,0.01,"(100,)",30,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (100,), 'km__n_clusters': 30}",56,0.6883561643835616,0.6997411561691113,0.6116838487972509,0.6681034482758621,0.6275862068965518,0.627906976744186,0.6275862068965518,0.627906976744186,0.6354166666666666,0.6337059329320722,0.017258738125669717,8.358839777371728e-05,0.026340558790849004,0.02839989537358673
37,0.23278579711914063,0.000749969482421875,0.6685044796691937,0.6778318659453717,0.01,"(100,)",35,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (100,), 'km__n_clusters': 35}",18,0.6746575342465754,0.6980155306298533,0.6872852233676976,0.6922413793103448,0.6551724137931034,0.694229112833764,0.6862068965517242,0.6675279931093885,0.6388888888888888,0.6371453138435081,0.005769779624012888,4.739233636165574e-05,0.018724308951653536,0.023001953909994648
38,0.28060269355773926,0.0008543968200683594,0.684355616815989,0.695552527174508,0.01,"(100,)",40,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (100,), 'km__n_clusters': 40}",7,0.660958904109589,0.6885245901639344,0.6941580756013745,0.7155172413793104,0.6793103448275862,0.7028423772609819,0.6827586206896552,0.6658053402239449,0.7048611111111112,0.705073086844368,0.017442512939383748,8.535100090339391e-05,0.014781259427065555,0.01718522513141104
39,0.2993347644805908,0.0008294582366943359,0.7126119917298415,0.7120950591175778,0.01,"(100,)",50,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (100,), 'km__n_clusters': 50}",4,0.7294520547945206,0.7083692838654012,0.7044673539518901,0.7258620689655172,0.6793103448275862,0.6993970714900948,0.7206896551724138,0.7114556416881999,0.7291666666666666,0.7153912295786758,0.017194747020982705,6.788828268927729e-05,0.01895934285384076,0.00867092204472294
40,0.03917946815490723,0.0005143165588378906,0.627842866988284,0.6278434193499093,0.01,"(50,)",2,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 2}",70,0.6267123287671232,0.6281276962899051,0.6254295532646048,0.628448275862069,0.6275862068965518,0.627906976744186,0.6275862068965518,0.627906976744186,0.6319444444444444,0.6268271711092004,0.002271677317548764,2.651806291926885e-05,0.0021887550862273665,0.0005454364033310899
