,naics_2007_us_code,wage_offer_from_9089,case_status,wage_offer_unit_of_pay_9089,country_of_citzenship,employer_state,pw_level_9089
54,8131.0,73819.0,1,2.0,133,48,2
55,541330.0,117312.0,-1,2.0,138,36,3
56,611310.0,90000.0,1,2.0,85,40,0
57,523110.0,88000.0,1,2.0,26,36,1
58,423430.0,68598.0,-1,2.0,57,3,1
59,623110.0,82264.0,1,2.0,102,15,1
60,441120.0,44512.0,1,2.0,0,4,2
61,611710.0,38100.0,-1,2.0,57,40,0
62,524113.0,75000.0,1,2.0,57,23,0
63,334220.0,79498.0,1,2.0,57,4,1
64,6113.0,53000.0,1,2.0,24,43,0
65,541512.0,71510.4,1,2.0,57,37,1
66,541511.0,92000.0,1,2.0,57,50,3
67,611310.0,47500.0,1,2.0,126,52,0
68,54121.0,47362.0,1,2.0,102,4,2
69,611310.0,88000.0,1,2.0,116,46,0
70,541519.0,99736.0,1,2.0,102,10,3
71,541611.0,98000.0,1,2.0,35,51,3
72,541810.0,117312.0,1,2.0,57,36,3
73,51121.0,116167.0,1,2.0,26,51,0
74,423450.0,96574.0,1,2.0,24,16,3
75,541420.0,75962.0,1,2.0,57,46,1
76,541511.0,83000.0,-1,2.0,57,48,1
77,541511.0,117500.0,-1,2.0,57,36,3
78,334111.0,70069.0,1,2.0,57,4,2
79,112519.0,50003.0,1,2.0,102,12,1
80,621111.0,235000.0,1,2.0,57,2,0
81,541611.0,104000.0,1,2.0,57,36,3
82,541330.0,115752.0,-1,2.0,66,18,2
83,334210.0,122000.0,1,2.0,57,4,3
84,51121.0,117000.0,1,2.0,57,51,2
85,4411.0,49000.0,1,2.0,116,4,2
86,334220.0,111452.0,1,2.0,57,10,3
87,541511.0,83000.0,1,2.0,57,21,1
88,541511.0,113090.0,1,2.0,57,4,1
89,541211.0,104562.0,1,2.0,57,33,3
90,5151.0,66560.0,-1,2.0,12,9,0
91,531312.0,82930.0,1,2.0,18,36,3
92,54151.0,154253.0,1,2.0,45,4,3
93,523920.0,240000.0,1,2.0,61,6,2
94,54161.0,86000.0,1,2.0,57,40,1
95,541330.0,79310.0,1,2.0,88,48,1
96,334513.0,115000.0,1,2.0,57,13,2
97,522110.0,58400.0,1,2.0,126,48,0
98,33411.0,111218.0,1,2.0,57,4,3
99,52.0,101440.0,1,2.0,57,13,3
100,236118.0,41000.0,-1,2.0,24,4,3
101,522291.0,180000.0,1,2.0,62,15,0
102,541511.0,123282.0,1,2.0,57,4,3
103,541710.0,194000.0,1,2.0,115,4,3
104,621340.0,34.37,1,1.0,102,46,0
105,624110.0,52437.0,1,2.0,138,36,1
106,541519.0,130000.0,1,2.0,57,4,2
107,336413.0,100630.0,1,2.0,57,46,2
108,541330.0,84198.0,-1,2.0,57,4,1
109,3344.0,71115.0,1,2.0,26,46,0
110,611310.0,75000.0,1,2.0,116,10,0
111,561720.0,16474.0,-1,2.0,26,43,0
112,541511.0,108534.0,1,2.0,57,46,3
113,611310.0,52500.0,1,2.0,26,9,0
114,621610.0,25438.4,-1,2.0,102,4,3
115,54151.0,73590.0,1,2.0,57,23,2
116,311615.0,16640.0,1,2.0,116,10,0
117,522220.0,140000.0,1,2.0,124,4,2
118,611110.0,46990.0,-1,2.0,27,46,1
119,325412.0,119000.0,1,2.0,57,33,3
120,5415.0,93840.0,1,2.0,24,39,1
121,511110.0,110000.0,1,2.0,57,15,1
122,541511.0,63500.0,-1,2.0,57,15,1
123,54161.0,98000.0,1,2.0,57,40,1
124,541511.0,65000.0,-1,2.0,57,9,1
125,5415.0,105643.0,1,2.0,57,4,2
126,541511.0,89024.0,1,2.0,57,33,2
127,492210.0,21174.0,1,2.0,102,4,0
128,336111.0,91008.0,1,2.0,57,23,1
129,518112.0,130971.0,1,2.0,138,4,1
130,312229.0,150000.0,1,2.0,115,48,1
131,447190.0,21341.0,1,2.0,88,33,2
132,541511.0,92810.0,1,2.0,57,4,2
133,722110.0,73965.0,1,2.0,129,7,3
134,541512.0,84000.0,1,2.0,57,40,1
135,5415.0,90480.0,1,2.0,57,35,1
136,336330.0,47466.0,1,2.0,116,23,1
137,541330.0,63752.0,1,2.0,54,4,0
138,551112.0,150000.0,1,2.0,57,15,1
139,541330.0,88621.0,-1,2.0,133,46,1
140,541511.0,83000.0,-1,2.0,57,48,1
141,522110.0,105000.0,1,2.0,57,29,3
142,541810.0,121500.0,1,2.0,89,36,1
143,621111.0,123115.2,1,2.0,57,45,0
144,332311.0,26000.0,1,2.0,26,31,2
