,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__alpha,param_NN__hidden_layer_sizes,param_pca__n_components,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
27,0.05647397041320801,0.0004759311676025391,0.6685044796691937,0.6737000279437103,0.01,"(50,)",5,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50,), 'pca__n_components': 5}",45,0.7123287671232876,0.7023295944779983,0.6735395189003437,0.7051724137931035,0.6586206896551724,0.6838931955211025,0.6413793103448275,0.6365202411714039,0.65625,0.6405846947549441,0.015570637648531895,2.793280978044401e-05,0.024247992737649465,0.029641274105180682
28,0.06117291450500488,0.0005256175994873047,0.6526533425223984,0.6745318282473695,0.01,"(50,)",6,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50,), 'pca__n_components': 6}",57,0.6712328767123288,0.6669542709232097,0.6529209621993127,0.6870689655172414,0.7137931034482758,0.7252368647717485,0.5586206896551724,0.611541774332472,0.6666666666666666,0.6818572656921754,0.016769948001494183,4.2874422696303865e-05,0.05121296074747251,0.036897178322529235
29,0.04393587112426758,0.0005335807800292969,0.6850447966919366,0.6922837877209611,0.01,"(50,)",7,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50,), 'pca__n_components': 7}",25,0.6883561643835616,0.7031924072476272,0.6872852233676976,0.6887931034482758,0.7,0.6950904392764858,0.6724137931034483,0.6804478897502153,0.6770833333333334,0.6938950988822012,0.0037937086409972603,5.931842748747348e-05,0.009611526004310013,0.007506596486497786
30,0.046649742126464847,0.000622415542602539,0.6946933149552033,0.7046910540369348,0.01,"(50, 50)",2,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 2}",14,0.6883561643835616,0.7100949094046591,0.6769759450171822,0.7112068965517241,0.6862068965517242,0.7002583979328165,0.7103448275862069,0.7019810508182601,0.7118055555555556,0.6999140154772141,0.0060423027009264005,3.8245372223928455e-05,0.013874859635116142,0.00492890477685421
31,0.059510660171508786,0.0006038665771484375,0.6705720192970366,0.6781836658433071,0.01,"(50, 50)",3,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 3}",44,0.6952054794520548,0.7014667817083693,0.6632302405498282,0.7086206896551724,0.6448275862068965,0.6537467700258398,0.7137931034482758,0.6993970714900948,0.6354166666666666,0.6276870163370594,0.018261553897565206,2.1525065235619886e-05,0.029732960514753128,0.03182953964667322
32,0.04545774459838867,0.0006536960601806641,0.6464507236388698,0.6490403857676297,0.01,"(50, 50)",4,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 4}",61,0.6472602739726028,0.635030198446937,0.6769759450171822,0.7025862068965517,0.6275862068965518,0.6339362618432386,0.6275862068965518,0.6270456503014643,0.6527777777777778,0.646603611349957,0.012031287220816077,1.5388917373263914e-05,0.0183629783014053,0.02750011318683613
33,0.07010450363159179,0.0006610393524169922,0.6636802205375603,0.6691977017103004,0.01,"(50, 50)",5,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 5}",50,0.7157534246575342,0.7040552200172563,0.5876288659793815,0.6431034482758621,0.6206896551724138,0.6201550387596899,0.7068965517241379,0.6993970714900948,0.6875,0.6792777300085985,0.01653870718402007,3.3051591924141734e-05,0.05060543505398213,0.0326029088877017
34,0.05057005882263184,0.0006443500518798828,0.687801516195727,0.6876476019419926,0.01,"(50, 50)",6,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 6}",20,0.7054794520547946,0.7169974115616912,0.6701030927835051,0.6896551724137931,0.6931034482758621,0.6925064599483204,0.6689655172413793,0.6744186046511628,0.7013888888888888,0.6646603611349957,0.022613982738733822,4.210896000849496e-05,0.015455769500942823,0.017846398932429463
35,0.0511878490447998,0.0007531166076660157,0.6815988973121985,0.6824667253994647,0.01,"(50, 50)",7,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 7}",32,0.6643835616438356,0.6850733390854185,0.6838487972508591,0.7043103448275863,0.6896551724137931,0.7080103359173127,0.6620689655172414,0.6373815676141258,0.7083333333333334,0.6775580395528805,0.012847936941422472,6.925678488897016e-05,0.017079859293134877,0.025271251778197633
36,0.05833287239074707,0.0008786678314208985,0.7002067539627843,0.695717063314804,0.001,"(100,)",2,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (100,), 'pca__n_components': 2}",6,0.6575342465753424,0.6729939603106126,0.6907216494845361,0.696551724137931,0.7206896551724138,0.7011197243755384,0.7103448275862069,0.7054263565891473,0.7222222222222222,0.702493551160791,0.011245739255170206,0.0004332997663218899,0.02418854691765491,0.01171679118854601
37,0.05523214340209961,0.0006668567657470703,0.7050310130944176,0.7045181860383565,0.001,"(100,)",3,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (100,), 'pca__n_components': 3}",1,0.708904109589041,0.7014667817083693,0.6872852233676976,0.7112068965517241,0.6931034482758621,0.7080103359173127,0.7034482758620689,0.7088716623600344,0.7326388888888888,0.6930352536543423,0.006070097064990233,2.111586554096654e-05,0.015696902944818326,0.006588710339862352
38,0.04409117698669433,0.0008079051971435547,0.6974500344589938,0.6962487099216951,0.001,"(100,)",4,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (100,), 'pca__n_components': 4}",10,0.6952054794520548,0.7023295944779983,0.6769759450171822,0.7051724137931035,0.7103448275862069,0.6821705426356589,0.7068965517241379,0.6985357450473729,0.6979166666666666,0.6930352536543423,0.006004967679122313,0.0001739477901961714,0.011670180619158711,0.008128484148395298
39,0.07965197563171386,0.0006374359130859375,0.6753962784286699,0.6938709206850231,0.001,"(100,)",5,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (100,), 'pca__n_components': 5}",38,0.708904109589041,0.7049180327868853,0.6666666666666666,0.7094827586206897,0.7,0.7286821705426356,0.7413793103448276,0.726959517657192,0.5590277777777778,0.5993121238177128,0.02322694816554944,6.893399803804095e-05,0.06261119731573411,0.04819504663500104
40,0.05740280151367187,0.0006356716156005859,0.6760854583046175,0.6803786352205474,0.001,"(100,)",6,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (100,), 'pca__n_components': 6}",34,0.684931506849315,0.6781708369283865,0.6391752577319587,0.6741379310344827,0.6586206896551724,0.6666666666666666,0.6931034482758621,0.6666666666666666,0.7048611111111112,0.7162510748065348,0.01729475080366986,4.521145540473265e-05,0.02392002373980518,0.018475328668970312
41,0.05197610855102539,0.0006735324859619141,0.6609235010337698,0.664712355867748,0.001,"(100,)",7,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (100,), 'pca__n_components': 7}",53,0.6267123287671232,0.6298533218291631,0.6460481099656358,0.6629310344827586,0.6931034482758621,0.7019810508182601,0.7137931034482758,0.6950904392764858,0.625,0.6337059329320722,0.015782026816127993,5.967174567729775e-05,0.03607871843674674,0.02997167729089716
42,0.02650895118713379,0.0005093574523925781,0.6188835286009648,0.6154388335291247,0.001,"(50,)",2,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'pca__n_components': 2}",69,0.6267123287671232,0.6281276962899051,0.6185567010309279,0.6198275862068966,0.5896551724137931,0.5745047372954349,0.6275862068965518,0.627906976744186,0.6319444444444444,0.6268271711092004,0.0028039772099273125,5.2729997464233676e-05,0.01523459312803418,0.02069307831506268
43,0.06051812171936035,0.0005324363708496093,0.6871123363197794,0.6834957178352978,0.001,"(50,)",3,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'pca__n_components': 3}",21,0.6746575342465754,0.6893874029335634,0.6426116838487973,0.6758620689655173,0.6827586206896552,0.689922480620155,0.7206896551724138,0.6813092161929372,0.7152777777777778,0.6809974204643164,0.004819716309862403,8.27191396203465e-05,0.028547261709827465,0.005390920282158707
44,0.04814167022705078,0.0004731655120849609,0.6416264645072364,0.6509345956893509,0.001,"(50,)",4,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'pca__n_components': 4}",65,0.6643835616438356,0.6833477135461605,0.6254295532646048,0.646551724137931,0.6275862068965518,0.6261843238587425,0.6310344827586207,0.6296296296296297,0.6597222222222222,0.6689595872742906,0.015566696664998127,2.1098953154203795e-05,0.016841856129369375,0.02218647168148964
45,0.05679974555969238,0.0004980087280273438,0.6685044796691937,0.6737000279437103,0.001,"(50,)",5,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'pca__n_components': 5}",45,0.7123287671232876,0.7023295944779983,0.6735395189003437,0.7051724137931035,0.6586206896551724,0.6838931955211025,0.6413793103448275,0.6365202411714039,0.65625,0.6405846947549441,0.015620134831688797,2.0102744298037372e-05,0.024247992737649465,0.029641274105180682
46,0.057962656021118164,0.0004884243011474609,0.6526533425223984,0.674704242040473,0.001,"(50,)",6,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'pca__n_components': 6}",57,0.6712328767123288,0.6669542709232097,0.6529209621993127,0.6879310344827586,0.7137931034482758,0.7252368647717485,0.5586206896551724,0.611541774332472,0.6666666666666666,0.6818572656921754,0.01677927670267143,6.230650710373751e-05,0.05121296074747251,0.03695732437570995
47,0.04390625953674317,0.000517892837524414,0.6850447966919366,0.6924560530095054,0.001,"(50,)",7,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'pca__n_components': 7}",25,0.6883561643835616,0.7031924072476272,0.6872852233676976,0.6887931034482758,0.7,0.6959517657192076,0.6724137931034483,0.6804478897502153,0.6770833333333334,0.6938950988822012,0.004392309342702622,5.980294619298584e-05,0.009611526004310013,0.007578566448198617
48,0.04525389671325684,0.0006041526794433594,0.6953824948311509,0.7046910540369348,0.001,"(50, 50)",2,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 2}",12,0.6917808219178082,0.7100949094046591,0.6769759450171822,0.7112068965517241,0.6862068965517242,0.7002583979328165,0.7103448275862069,0.7019810508182601,0.7118055555555556,0.6999140154772141,0.006210212069035079,2.370988560001602e-05,0.013625787784848561,0.00492890477685421
49,0.05947713851928711,0.0006114006042480469,0.6712611991729841,0.6785281964203959,0.001,"(50, 50)",3,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 3}",42,0.6952054794520548,0.7014667817083693,0.6666666666666666,0.7086206896551724,0.6448275862068965,0.6537467700258398,0.7137931034482758,0.7011197243755384,0.6354166666666666,0.6276870163370594,0.017538011799594726,2.817926062143799e-05,0.029594301401839027,0.032065740801864355
50,0.04721322059631348,0.0009915351867675782,0.6464507236388698,0.6490403857676297,0.001,"(50, 50)",4,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 4}",61,0.6472602739726028,0.635030198446937,0.6769759450171822,0.7025862068965517,0.6275862068965518,0.6339362618432386,0.6275862068965518,0.6270456503014643,0.6527777777777778,0.646603611349957,0.01203098834909268,0.0005743694955432847,0.0183629783014053,0.02750011318683613
